bankruptid;startdate
117140;2016-08-29
117227;2016-08-30
117246;2016-08-30
117279;2016-08-31
117284;2016-08-31
117291;2016-08-31
117335;2016-08-31
117346;2016-08-31
117420;2016-09-01
117438;2016-09-01
117454;2016-09-01
117523;2016-09-02
117560;2016-09-02
117624;2016-09-02
117683;2016-09-04
117720;2016-09-05
117792;2016-09-05
117796;2016-09-05
117809;2016-09-05
117815;2016-09-05
117820;2016-09-05
117825;2016-09-05
117853;2016-09-06
117941;2016-09-06
117950;2016-09-07
117961;2016-09-07
118010;2016-09-07
118029;2016-09-07
118120;2016-09-08
118186;2016-09-08
118287;2016-09-09
118309;2016-09-09
118323;2016-09-09
118383;2017-02-15
118603;2016-09-13
118613;2016-09-13
118664;2016-09-13
118673;2016-09-13
118775;2016-09-14
118795;2016-09-14
118850;2016-09-14
118919;2016-09-15
118979;2016-09-16
119007;2016-09-16
119008;2016-09-16
119022;2016-09-16
119041;2016-09-16
119145;2016-09-18
119234;2016-09-19
119238;2016-09-19
119284;2016-09-19
119332;2016-09-19
119458;2016-09-20
119505;2016-09-21
119558;2016-09-21
119617;2016-09-21
119669;2016-09-22
119806;2016-09-23
119866;2016-09-23
119896;2016-09-23
119927;2016-09-24
120008;2016-09-26
120024;2016-09-26
120074;2016-09-26
120108;2016-09-26
120156;2016-09-27
120204;2016-09-27
120211;2016-09-27
120257;2016-09-27
120356;2016-09-28
120366;2016-09-28
120368;2016-09-28
120434;2016-09-28
120439;2016-09-28
120447;2016-09-28
120452;2016-09-29
120500;2016-09-29
120633;2016-09-30
120636;2016-09-30
120640;2016-09-30
120642;2016-09-30
120676;2016-09-30
120753;2016-10-01
120760;2016-10-01
120779;2016-10-01
120862;2016-10-03
120865;2016-10-03
120912;2016-10-03
120973;2016-10-03
121006;2017-04-25
121063;2016-10-04
121064;2016-10-04
121167;2016-10-04
121244;2016-10-05
121272;2016-10-05
121308;2016-10-05
121343;2016-10-06
121415;2016-10-06
121421;2016-10-06
121473;2016-10-06
121604;2016-10-07
121622;2016-10-07
121707;2016-10-09
121726;2016-10-10
121754;2016-10-10
121776;2016-10-10
121868;2016-10-10
121872;2016-10-10
121891;2016-10-10
121892;2016-10-10
121899;2016-10-10
121995;2016-10-11
121999;2016-10-11
122054;2016-10-11
122092;2016-10-12
122130;2016-10-12
122148;2016-10-12
122176;2016-10-12
122218;2016-11-24
122240;2016-10-12
122329;2016-10-13
122347;2016-10-13
